Name,Icon_Image,Photo_Image,House_Image,Animal,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite_Song,Favorite_Saying
Admiral,https://acnhcdn.com/latest/NpcIcon/brd06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd06.png,https://acnhcdn.com/drivesync/render/houses/brd06_39_Admiral.png,Bird,Male,Cranky,Nature,27-Jan,aye aye,Steep Hill,Only quitters give up.
Agent S,https://acnhcdn.com/latest/NpcIcon/squ05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu05.png,https://acnhcdn.com/drivesync/render/houses/squ05_357_Agent%20S.png,Squirrel,Female,Peppy,Fitness,02-Jul,sidekick,Go K.K. Rider,You gotta put the pedal to the metal!
Agnes,https://acnhcdn.com/latest/NpcIcon/pig17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig17.png,https://acnhcdn.com/drivesync/render/houses/pig17_313_Agnes.png,Pig,Female,Big Sister,Play,21-Apr,snuffle,K.K. House,You reap what you sow.
Al,https://acnhcdn.com/latest/NpcIcon/gor08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor08.png,https://acnhcdn.com/drivesync/render/houses/gor08_190_Al.png,Gorilla,Male,Lazy,Fitness,18-Oct,ayyyeee,Go K.K. Rider,Life is a buffet. Always go back for seconds.
Alfonso,https://acnhcdn.com/latest/NpcIcon/crd00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd00.png,https://acnhcdn.com/drivesync/render/houses/crd00_102_Alfonso.png,Alligator,Male,Lazy,Play,09-Jun,it'sa me,Forest Life,Slow and steady wins the race.
Alice,https://acnhcdn.com/latest/NpcIcon/kal01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKal01.png,https://acnhcdn.com/drivesync/render/houses/kal01_221_Alice.png,Koala,Female,Normal,Education,19-Aug,guvnor,Aloha K.K.,Treat others as you would like to be treated.
Alli,https://acnhcdn.com/latest/NpcIcon/crd01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd01.png,https://acnhcdn.com/drivesync/render/houses/crd01_103_Alli.png,Alligator,Female,Snooty,Fashion,08-Nov,graaagh,K.K. Soul,Think before you act.
Amelia,https://acnhcdn.com/latest/NpcIcon/pbr01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr01.png,https://acnhcdn.com/drivesync/render/houses/pbr01_279_Amelia.png,Eagle,Female,Snooty,Music,19-Nov,cuz,K.K. Condor,"Pampering yourself is as important as food, water, and shelter!"
Anabelle,https://acnhcdn.com/latest/NpcIcon/ant03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlAnt03.png,https://acnhcdn.com/drivesync/render/houses/ant03_15_Anabelle.png,Anteater,Female,Peppy,Fashion,16-Feb,snorty,Aloha K.K.,Dance like no one's watching!
Anchovy,https://acnhcdn.com/latest/NpcIcon/brd02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd02.png,https://acnhcdn.com/drivesync/render/houses/brd02_35_Anchovy.png,Bird,Male,Lazy,Play,04-Mar,chuurp,K.K. Ragtime,Why do today what you can put off until tomorrow?
Angus,https://acnhcdn.com/latest/NpcIcon/bul00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBul00.png,https://acnhcdn.com/drivesync/render/houses/bul00_46_Angus.png,Bull,Male,Cranky,Fitness,30-Apr,macmoo,K.K. Calypso,Even strong bulls cry.
Anicotti,https://acnhcdn.com/latest/NpcIcon/mus10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus10.png,https://acnhcdn.com/drivesync/render/houses/mus10_258_Anicotti.png,Mouse,Female,Peppy,Fashion,24-Feb,cannoli,Neapolitan,The walls have ears.
Ankha,https://acnhcdn.com/latest/NpcIcon/cat19.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat19.png,https://acnhcdn.com/drivesync/render/houses/cat19_70_Ankha.png,Cat,Female,Snooty,Nature,22-Sep,me meow,K.K. Bazaar,All that glitters is not gold.
Annalisa,https://acnhcdn.com/latest/NpcIcon/ant08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlAnt08.png,https://acnhcdn.com/drivesync/render/houses/ant08_17_Annalisa.png,Anteater,Female,Normal,Nature,06-Feb,gumdrop,King K.K.,Home is where the heart is.
Annalise,https://acnhcdn.com/latest/NpcIcon/hrs09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs09.png,https://acnhcdn.com/drivesync/render/houses/hrs09_214_Annalise.png,Horse,Female,Snooty,Fashion,02-Dec,nipper,Aloha K.K.,Let gossip go in one ear and out the other.
Antonio,https://acnhcdn.com/latest/NpcIcon/ant01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlAnt01.png,https://acnhcdn.com/drivesync/render/houses/ant01_13_Antonio.png,Anteater,Male,Jock,Fitness,20-Oct,honk,K.K. Ragtime,Always go for the burn!
Apollo,https://acnhcdn.com/latest/NpcIcon/pbr00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr00.png,https://acnhcdn.com/drivesync/render/houses/pbr00_278_Apollo.png,Eagle,Male,Cranky,Music,04-Jul,pah,K.K. Rock,What goes up must come down.
Apple,https://acnhcdn.com/latest/NpcIcon/ham01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam01.png,https://acnhcdn.com/drivesync/render/houses/ham01_194_Apple.png,Hamster,Female,Peppy,Play,24-Sep,cheekers,I Love You,One rotten apple spoils the barrel.
Astrid,https://acnhcdn.com/latest/NpcIcon/kgr05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKgr05.png,https://acnhcdn.com/drivesync/render/houses/kgr05_231_Astrid.png,Kangaroo,Female,Snooty,Music,08-Sep,my pet,K.K. Gumbo,The apple doesn't fall far from the tree.
Audie,https://acnhcdn.com/latest/NpcIcon/wol12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol12.png,https://acnhcdn.com/drivesync/render/houses/wol12_387_Audie.png,Wolf,Female,Peppy,Fitness,31-Aug,foxtrot,K.K. Island,Be the kind of person your future self won't regret having been.
Aurora,https://acnhcdn.com/latest/NpcIcon/pgn00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn00.png,https://acnhcdn.com/drivesync/render/houses/pgn00_287_Aurora.png,Penguin,Female,Normal,Education,27-Jan,b-b-baby,Stale Cupcakes,Always keep your cool.
Ava,https://acnhcdn.com/latest/NpcIcon/chn05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn05.png,https://acnhcdn.com/drivesync/render/houses/chn05_92_Ava.png,Chicken,Female,Normal,Music,28-Apr,beaker,K.K. Love Song,"Early to bed, early to rise."
Avery,https://acnhcdn.com/latest/NpcIcon/pbr05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr05.png,https://acnhcdn.com/drivesync/render/houses/pbr05_282_Avery.png,Eagle,Male,Cranky,Music,22-Feb,skree-haw,K.K. Condor,What goes around comes around.
Axel,https://acnhcdn.com/latest/NpcIcon/elp06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp06.png,https://acnhcdn.com/drivesync/render/houses/elp06_154_Axel.png,Elephant,Male,Jock,Fitness,23-Mar,WHONK,K.K. Dixie,Do not compare a fly with an elephant.
Baabara,https://acnhcdn.com/latest/NpcIcon/shp01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp01.png,https://acnhcdn.com/drivesync/render/houses/shp01_341_Baabara.png,Sheep,Female,Snooty,Fashion,28-Mar,daahling,K.K. Cruisin',Don't just follow the flock.
Bam,https://acnhcdn.com/latest/NpcIcon/der01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer01.png,https://acnhcdn.com/drivesync/render/houses/der01_110_Bam.png,Deer,Male,Jock,Play,07-Nov,kablang,K.K. Blues,Get while the getting's good.
Bangle,https://acnhcdn.com/latest/NpcIcon/tig03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlTig03.png,https://acnhcdn.com/drivesync/render/houses/tig03_373_Bangle.png,Tiger,Female,Peppy,Fashion,27-Aug,growf,K.K. Soul,Don't blink or you'll miss it.
Barold,https://acnhcdn.com/latest/NpcIcon/cbr16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr16.png,https://acnhcdn.com/drivesync/render/houses/cbr16_86_Barold.png,Cub,Male,Lazy,Play,02-Mar,cubby,K.K. Song,Please DO feed the bears!
Bea,https://acnhcdn.com/latest/NpcIcon/dog10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog10.png,https://acnhcdn.com/drivesync/render/houses/dog10_128_Bea.png,Dog,Female,Normal,Nature,15-Oct,bingo,Drivin',The perfect pair complements each other.
Beardo,https://acnhcdn.com/latest/NpcIcon/bea13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea13.png,https://acnhcdn.com/drivesync/render/houses/bea13_30_Beardo.png,Bear,Male,Smug,Education,27-Sep,whiskers,K.K. Milonga,Fashion first!
Beau,https://acnhcdn.com/latest/NpcIcon/der07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer07.png,https://acnhcdn.com/drivesync/render/houses/der07_115_Beau.png,Deer,Male,Lazy,Nature,05-Apr,saltlick,Mountain Song,"You snooze, you lose."
Becky,https://acnhcdn.com/latest/NpcIcon/chn09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn09.png,https://acnhcdn.com/drivesync/render/houses/chn09_93_Becky.png,Chicken,Female,Snooty,Music,09-Dec,chicklet,K.K. Chorale,A fool and his Bells are soon parted.
Bella,https://acnhcdn.com/latest/NpcIcon/mus02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus02.png,https://acnhcdn.com/drivesync/render/houses/mus02_252_Bella.png,Mouse,Female,Peppy,Music,28-Dec,eeks,K.K. Metal,A glamour shot is worth a thousand words.
Benedict,https://acnhcdn.com/latest/NpcIcon/chn01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn01.png,https://acnhcdn.com/drivesync/render/houses/chn01_90_Benedict.png,Chicken,Male,Lazy,Play,10-Oct,uh-hoo,I Love You,Don't put all your eggs in one basket.
